ENSMUSG00000005057|Sh2b2
ENSMUSG00000025200|Cwf19l1
ENSMUSG00000021619|Atg10
ENSMUSG00000025041|Nt5c2
ENSMUSG00000006021|Kptn
ENSMUSG00000026048|Ercc5
ENSMUSG00000031105|Slc25a14
ENSMUSG00000067873|Htatsf1
ENSMUSG00000035696|Rnf38
ENSMUSG00000092368|A930015D03Rik
