ENSMUSG00000021494|Ddx41
ENSMUSG00000019494|Cops6
ENSMUSG00000012848|Rps5
ENSMUSG00000021737|Psmd6
ENSMUSG00000023330|Dtwd1
ENSMUSG00000031954|Cfdp1
ENSMUSG00000031948|Kars
ENSMUSG00000029034|Ints11
ENSMUSG00000028409|Smu1
ENSMUSG00000055531|Cpsf6
