ENSMUSG00000053012|Krcc1
ENSMUSG00000024781|Lipa
ENSMUSG00000049550|Clip1
ENSMUSG00000078584|AU022252
ENSMUSG00000041229|Phf8
ENSMUSG00000050471|Fam118b
ENSMUSG00000069895|Atxn1l
ENSMUSG00000019907|Ppp1r12a
ENSMUSG00000019863|Qrsl1
ENSMUSG00000070372|Capza1
