ENSMUSG00000040139|9430038I01Rik
ENSMUSG00000037805|Rpl10a
ENSMUSG00000025508|Rplp2
ENSMUSG00000022978|Mis18a
ENSMUSG00000062328|Rpl17
ENSMUSG00000024608|Rps14
ENSMUSG00000033307|Mif
ENSMUSG00000067150|Xpo5
ENSMUSG00000039771|Polr2j
ENSMUSG00000038005|Hpf1
