ENSMUSG00000097545|Mir124a-1hg
ENSMUSG00000059674|Cdh24
ENSMUSG00000031561|Tenm3
ENSMUSG00000024647|Cbln2
ENSMUSG00000026393|Nek7
ENSMUSG00000091955|Gm9844
ENSMUSG00000041703|Zic5
ENSMUSG00000024985|Tcf7l2
ENSMUSG00000027221|Chst1
ENSMUSG00000050248|Evc2
