ENSMUSG00000043866|Taf10
ENSMUSG00000020116|Pno1
ENSMUSG00000039682|Lap3
ENSMUSG00000030796|Tead2
ENSMUSG00000021958|Pinx1
ENSMUSG00000007415|Gatad1
ENSMUSG00000074476|Spc24
ENSMUSG00000056305|Usp39
ENSMUSG00000028224|Nbn
ENSMUSG00000028010|Gar1
