ENSMUSG00000078794|Dact3
ENSMUSG00000027350|Chgb
ENSMUSG00000044528|Tram1l1
ENSMUSG00000041272|Tox
ENSMUSG00000085946|AA387200
ENSMUSG00000011427|Zfp790
ENSMUSG00000102252|Snrpn
ENSMUSG00000059974|Ntm
ENSMUSG00000063894|Zkscan8
ENSMUSG00000032368|Zic1
