ENSMUSG00000027646|Src
ENSMUSG00000033940|Brk1
ENSMUSG00000001054|Rmnd5b
ENSMUSG00000025958|Creb1
ENSMUSG00000041187|Prkd2
ENSMUSG00000021518|Ptdss1
ENSMUSG00000008429|Herpud2
ENSMUSG00000019173|Rab5c
ENSMUSG00000039568|Ubald1
ENSMUSG00000038612|Mcl1
