ENSMUSG00000031706|Rfx1
ENSMUSG00000024959|Bad
ENSMUSG00000004364|Cul3
ENSMUSG00000060510|Zfp266
ENSMUSG00000004896|Rrnad1
ENSMUSG00000020521|Rnft1
ENSMUSG00000069835|Sat2
ENSMUSG00000049792|Bag5
ENSMUSG00000040048|Ndufb10
ENSMUSG00000038126|Mphosph9
