ENSMUSG00000034480|Diaph2
ENSMUSG00000021703|Serinc5
ENSMUSG00000036533|Cdc42ep3
ENSMUSG00000016487|Ppfibp1
ENSMUSG00000042099|Kank3
ENSMUSG00000029101|Rgs12
ENSMUSG00000045636|Mtus1
ENSMUSG00000026827|Gpd2
ENSMUSG00000033377|Palmd
ENSMUSG00000034612|Chst11
