ENSMUSG00000014601|Strip1
ENSMUSG00000036537|Rnf113a1
ENSMUSG00000039230|Tbcd
ENSMUSG00000044807|Zfp354c
ENSMUSG00000032290|Ptpn9
ENSMUSG00000029050|Ski
ENSMUSG00000000276|Dgke
ENSMUSG00000049401|Ogfr
ENSMUSG00000091050|9330020H09Rik
ENSMUSG00000024246|Thumpd2
