ENSMUSG00000035164|Zc3h12c
ENSMUSG00000041124|Msantd4
ENSMUSG00000029636|Wasf3
ENSMUSG00000004530|Coro1c
ENSMUSG00000002910|Arrdc2
ENSMUSG00000096988|A930029G22Rik
ENSMUSG00000039158|Akna
ENSMUSG00000038533|Cbfa2t2
ENSMUSG00000037761|Actr5
ENSMUSG00000025577|Cbx2
