ENSMUSG00000029598|Plbd2
ENSMUSG00000040652|Oaz2
ENSMUSG00000048058|Ldlrad3
ENSMUSG00000039159|Ube2h
ENSMUSG00000039043|Arpin
ENSMUSG00000034974|Dapk3
ENSMUSG00000061111|Mcrip1
ENSMUSG00000001419|Mef2d
ENSMUSG00000021987|Mtmr6
ENSMUSG00000034908|Sidt2
