ENSMUSG00000035093|Secisbp2l
ENSMUSG00000062591|Tubb4a
ENSMUSG00000043154|Ppp2r3a
ENSMUSG00000022639|Dubr
ENSMUSG00000030638|Sh3gl3
ENSMUSG00000087259|2610035D17Rik
ENSMUSG00000035235|Trim13
ENSMUSG00000046598|Bdh1
ENSMUSG00000089809|Rasgef1b
ENSMUSG00000029832|Nfe2l3
