ENSMUSG00000054408|Spcs3
ENSMUSG00000027427|Polr3f
ENSMUSG00000022672|Prkdc
ENSMUSG00000010936|Vac14
ENSMUSG00000036054|Sugp2
ENSMUSG00000038697|Taf5l
ENSMUSG00000035139|Secisbp2
ENSMUSG00000025102|3110040N11Rik
ENSMUSG00000035845|Alg12
ENSMUSG00000067713|Prkag1
