ENSMUSG00000032392|Parp16
ENSMUSG00000029202|Pds5a
ENSMUSG00000025007|Aldh18a1
ENSMUSG00000015697|Setdb1
ENSMUSG00000049717|Lig4
ENSMUSG00000075600|Zc3h3
ENSMUSG00000021189|Atxn3
ENSMUSG00000000441|Raf1
ENSMUSG00000042642|Flad1
ENSMUSG00000027439|Gzf1
