ENSMUSG00000025050|Pcgf6
ENSMUSG00000027810|Eif2a
ENSMUSG00000026275|Ppp1r7
ENSMUSG00000002010|Idh3g
ENSMUSG00000021951|Eef1akmt1
ENSMUSG00000036114|Rpp25l
ENSMUSG00000028792|Ak2
ENSMUSG00000020349|Ppp2ca
ENSMUSG00000036023|Parp2
ENSMUSG00000035960|Apex1
