ENSMUSG00000028246|Faxc
ENSMUSG00000030590|Fam98c
ENSMUSG00000041697|Cox6a1
ENSMUSG00000063802|Hspbp1
ENSMUSG00000079941|Gm11273
ENSMUSG00000059540|Tcea2
ENSMUSG00000048799|Cep120
ENSMUSG00000030265|Kras
ENSMUSG00000079508|Apoo
ENSMUSG00000062373|Tmem65
