ENSMUSG00000032602|Slc25a20
ENSMUSG00000039428|Tmem135
ENSMUSG00000021194|Chga
ENSMUSG00000041117|Ccdc8
ENSMUSG00000039943|Plcb4
ENSMUSG00000026185|Igfbp5
ENSMUSG00000031521|Aga
ENSMUSG00000050711|Scg2
ENSMUSG00000042659|Arrdc4
ENSMUSG00000059824|Dbp
