ENSMUSG00000068036|Afdn
ENSMUSG00000031879|Fam96b
ENSMUSG00000029467|Atp2a2
ENSMUSG00000022400|Rbx1
ENSMUSG00000019659|Ccdc12
ENSMUSG00000052681|Rap1b
ENSMUSG00000024981|Acsl5
ENSMUSG00000022765|Snap29
ENSMUSG00000035781|R3hdm4
ENSMUSG00000032497|Lrrfip2
