ENSMUSG00000023755|Rhebl1
ENSMUSG00000051557|Pusl1
ENSMUSG00000002833|Hdgfl2
ENSMUSG00000029326|Enoph1
ENSMUSG00000026201|Stk16
ENSMUSG00000062981|Mrpl42
ENSMUSG00000063888|Rpl7l1
ENSMUSG00000030204|Ddx47
ENSMUSG00000022009|Nufip1
ENSMUSG00000028669|Pithd1
