ENSMUSG00000026966|Ssna1
ENSMUSG00000029463|Fam216a
ENSMUSG00000057411|Fam173a
ENSMUSG00000060227|Casc4
ENSMUSG00000022428|Cby1
ENSMUSG00000035666|Gtf3c4
ENSMUSG00000025208|Mrpl43
ENSMUSG00000021460|Auh
ENSMUSG00000053453|Thoc7
ENSMUSG00000031782|Coq9
