ENSMUSG00000063015|Ccni
ENSMUSG00000039285|Azi2
ENSMUSG00000056629|Fkbp2
ENSMUSG00000029364|Wsb2
ENSMUSG00000005674|Tomm40l
ENSMUSG00000024130|Abca3
ENSMUSG00000015711|Prune1
ENSMUSG00000073423|Zfp414
ENSMUSG00000027581|Stmn3
ENSMUSG00000038916|Soga3
