ENSMUSG00000048897|Zfp710
ENSMUSG00000004508|Gab2
ENSMUSG00000037344|Slc12a9
ENSMUSG00000000628|Hk2
ENSMUSG00000020009|Ifngr1
ENSMUSG00000022533|Atp13a3
ENSMUSG00000046139|Patl1
ENSMUSG00000030691|Fchsd2
ENSMUSG00000038910|Plcl2
ENSMUSG00000095041|AC149090.1
