ENSMUSG00000025758|Plk4
ENSMUSG00000002608|Ccdc97
ENSMUSG00000056999|Ide
ENSMUSG00000063362|Alg11
ENSMUSG00000050188|Lsm10
ENSMUSG00000031174|Rpgr
ENSMUSG00000061759|Armt1
ENSMUSG00000075227|Znhit2
ENSMUSG00000029048|Rer1
ENSMUSG00000027263|Tubgcp4
