ENSMUSG00000062175|Tgif2
ENSMUSG00000105361|AY036118
ENSMUSG00000030499|Kctd15
ENSMUSG00000054115|Skp2
ENSMUSG00000005718|Tfap4
ENSMUSG00000021418|Rpp40
ENSMUSG00000022000|Zc3h13
ENSMUSG00000032803|Cdv3
ENSMUSG00000015023|Ddx19a
ENSMUSG00000003190|Bcl2l12
