ENSMUSG00000026159|Agfg1
ENSMUSG00000021127|Zfp36l1
ENSMUSG00000028522|Mier1
ENSMUSG00000031029|Eif3f
ENSMUSG00000021395|Spin1
ENSMUSG00000021969|Zdhhc20
ENSMUSG00000009555|Cdk9
ENSMUSG00000068966|Zbtb34
ENSMUSG00000020530|Ggnbp2
ENSMUSG00000054364|Rhob
