ENSMUSG00000041216|Clvs1
ENSMUSG00000032446|Eomes
ENSMUSG00000043323|Fbrsl1
ENSMUSG00000027660|Skil
ENSMUSG00000053024|Cntn2
ENSMUSG00000028906|Epb41
ENSMUSG00000000247|Lhx2
ENSMUSG00000036242|3632451O06Rik
ENSMUSG00000056679|Gpr173
ENSMUSG00000061603|Akap6
