ENSMUSG00000002635|Pdcd2l
ENSMUSG00000029614|Rpl6
ENSMUSG00000038374|Rbm8a
ENSMUSG00000022109|Med4
ENSMUSG00000067274|Rplp0
ENSMUSG00000022671|Mzt2
ENSMUSG00000069744|Psmb3
ENSMUSG00000024902|Mrpl11
ENSMUSG00000018761|Mpdu1
ENSMUSG00000070697|Utp3
