ENSMUSG00000030854|Ptpn5
ENSMUSG00000042751|Nmnat2
ENSMUSG00000108434|Gm45768
ENSMUSG00000019775|Rgs17
ENSMUSG00000000305|Cdh4
ENSMUSG00000027273|Snap25
ENSMUSG00000029001|Fbxo44
ENSMUSG00000036913|Trim67
ENSMUSG00000036745|Ttll7
ENSMUSG00000106019|Gm43672
