ENSMUSG00000070733|Fryl
ENSMUSG00000028530|Jak1
ENSMUSG00000034006|Pqlc1
ENSMUSG00000000631|Myo18a
ENSMUSG00000001156|Mxd1
ENSMUSG00000020346|Mgat1
ENSMUSG00000037174|Elf2
ENSMUSG00000025612|Bach1
ENSMUSG00000037242|Clic4
ENSMUSG00000034781|Gna11
