ENSMUSG00000058135|Gstm1
ENSMUSG00000027887|Sypl2
ENSMUSG00000003581|Rnf215
ENSMUSG00000050423|Ppp1r3g
ENSMUSG00000071722|Spin4
ENSMUSG00000005089|Slc1a2
ENSMUSG00000017390|Aldoc
ENSMUSG00000021238|Aldh6a1
ENSMUSG00000008035|Mid1ip1
ENSMUSG00000047632|Fgfbp3
