ENSMUSG00000025068|Gsto1
ENSMUSG00000020307|Cdc34
ENSMUSG00000026189|Pecr
ENSMUSG00000055760|Gemin6
ENSMUSG00000034203|Chchd4
ENSMUSG00000028040|Efna4
ENSMUSG00000041801|Phlda3
ENSMUSG00000049969|Plekhf2
ENSMUSG00000003623|Crot
ENSMUSG00000073139|Tmem185a
