ENSMUSG00000116883|AC164424.1
ENSMUSG00000026172|Bcs1l
ENSMUSG00000028248|Pnisr
ENSMUSG00000049878|Rlf
ENSMUSG00000032740|Ccdc88a
ENSMUSG00000035293|G2e3
ENSMUSG00000045328|Cenpe
ENSMUSG00000028759|Hp1bp3
ENSMUSG00000027326|Knl1
ENSMUSG00000015087|Rabl6
