ENSMUSG00000020372|Rack1
ENSMUSG00000022403|St13
ENSMUSG00000072582|Ptrh2
ENSMUSG00000046010|Zfp830
ENSMUSG00000030007|Cct7
ENSMUSG00000053730|Tmem39b
ENSMUSG00000036693|Nop14
ENSMUSG00000025872|Thoc3
ENSMUSG00000013593|Ndufs2
ENSMUSG00000020328|Nudcd2
