ENSMUSG00000048040|Arxes2
ENSMUSG00000044365|Cxxc4
ENSMUSG00000031066|Usp11
ENSMUSG00000024565|Sall3
ENSMUSG00000025010|Ccnj
ENSMUSG00000028137|Celf3
ENSMUSG00000027589|Pcmtd2
ENSMUSG00000067199|Frat1
ENSMUSG00000056895|Hist3h2ba
ENSMUSG00000047496|Rnf152
