ENSMUSG00000002996|Hbp1
ENSMUSG00000018923|Med11
ENSMUSG00000079197|Psme2
ENSMUSG00000026307|Scly
ENSMUSG00000022216|Psme1
ENSMUSG00000038909|Kat7
ENSMUSG00000030629|Zfand6
ENSMUSG00000003135|Cnot11
ENSMUSG00000098178|Gm42418
ENSMUSG00000020537|Drg2
