ENSMUSG00000029507|Pus1
ENSMUSG00000026427|Eif2d
ENSMUSG00000027018|Hat1
ENSMUSG00000035397|Klf16
ENSMUSG00000074656|Eif2s2
ENSMUSG00000041506|Rrp9
ENSMUSG00000004069|Dnaja3
ENSMUSG00000062580|Timm17a
ENSMUSG00000062397|Zfp706
ENSMUSG00000049950|Rpp38
