ENSMUSG00000032030|Cul5
ENSMUSG00000063052|Lrrc40
ENSMUSG00000029486|Mrpl1
ENSMUSG00000001774|Chordc1
ENSMUSG00000063870|Chd4
ENSMUSG00000028936|Rpl22
ENSMUSG00000006728|Cdk4
ENSMUSG00000023004|Tuba1b
ENSMUSG00000040952|Rps19
ENSMUSG00000028426|Rad23b
