ENSMUSG00000019432|Ddx39b
ENSMUSG00000061136|Prpf40a
ENSMUSG00000059409|Ppp2r5d
ENSMUSG00000022752|Tomm70a
ENSMUSG00000005378|Bud23
ENSMUSG00000029169|Dhx15
ENSMUSG00000061650|Med9
ENSMUSG00000024645|Timm21
ENSMUSG00000061032|Rrp1
ENSMUSG00000004268|Emg1
