ENSMUSG00000006998|Psmd2
ENSMUSG00000032078|Zpr1
ENSMUSG00000021650|Ptcd2
ENSMUSG00000046865|Fbl
ENSMUSG00000025971|Maip1
ENSMUSG00000032299|Commd4
ENSMUSG00000057130|Txnl4a
ENSMUSG00000003435|Supt5
ENSMUSG00000004264|Phb2
ENSMUSG00000008301|Phax
