ENSMUSG00000099583|Hist1h3d
ENSMUSG00000098383|Gm27197
ENSMUSG00000027109|Sp3
ENSMUSG00000026355|Mcm6
ENSMUSG00000000184|Ccnd2
ENSMUSG00000055612|Cdca7
ENSMUSG00000090115|Usp49
ENSMUSG00000037461|Ints7
ENSMUSG00000094338|Hist1h2bl
ENSMUSG00000024533|Spire1
