ENSMUSG00000022883|Robo1
ENSMUSG00000044933|Sstr3
ENSMUSG00000116508|AL591952.3
ENSMUSG00000066838|Zfp772
ENSMUSG00000056268|Dennd1b
ENSMUSG00000097461|Gm26735
ENSMUSG00000033964|Zbtb41
ENSMUSG00000079283|2310009B15Rik
ENSMUSG00000035364|4930524J08Rik
ENSMUSG00000078762|Haus5
