ENSMUSG00000038970|Lmtk2
ENSMUSG00000022779|Top3b
ENSMUSG00000038384|Setd1b
ENSMUSG00000060261|Gtf2i
ENSMUSG00000022680|Pdxdc1
ENSMUSG00000038485|Socs7
ENSMUSG00000053754|Chd8
ENSMUSG00000061393|Acvr2b
ENSMUSG00000030839|Sergef
ENSMUSG00000031792|Usb1
