ENSMUSG00000019961|Tmpo
ENSMUSG00000063953|Amd2
ENSMUSG00000037787|Apopt1
ENSMUSG00000041225|Arhgap12
ENSMUSG00000036450|Hif1an
ENSMUSG00000054021|Sirt5
ENSMUSG00000039968|Rsbn1l
ENSMUSG00000039703|Nploc4
ENSMUSG00000021366|Hivep1
ENSMUSG00000023938|Aars2
