ENSMUSG00000040220|Gas8
ENSMUSG00000027968|Larp7
ENSMUSG00000024856|Cdk2ap2
ENSMUSG00000056131|Pgm3
ENSMUSG00000032604|Qars
ENSMUSG00000022722|Arl6
ENSMUSG00000014956|Ppp1cb
ENSMUSG00000026709|Dars2
ENSMUSG00000022551|Cyc1
ENSMUSG00000014771|Pdcd2
