ENSMUSG00000044906|4930503L19Rik
ENSMUSG00000034303|Ccdc15
ENSMUSG00000033055|Ankrd54
ENSMUSG00000031760|Mt3
ENSMUSG00000040537|Adam22
ENSMUSG00000022453|Naga
ENSMUSG00000041986|Elmod1
ENSMUSG00000029603|Dtx1
ENSMUSG00000025723|Nmb
ENSMUSG00000020877|Scrn2
