ENSMUSG00000055296|Tmem245
ENSMUSG00000040502|March9
ENSMUSG00000020790|Ankfy1
ENSMUSG00000037487|Ubr5
ENSMUSG00000024515|Smad4
ENSMUSG00000024220|Zfp523
ENSMUSG00000022387|Brd1
ENSMUSG00000037331|Larp1
ENSMUSG00000022390|Zc3h7b
ENSMUSG00000025034|Trim8
