ENSMUSG00000049323|Smcr8
ENSMUSG00000020366|Mapk9
ENSMUSG00000020311|Erlec1
ENSMUSG00000051444|Bbs12
ENSMUSG00000035765|Dym
ENSMUSG00000038150|Ormdl3
ENSMUSG00000032968|Inha
ENSMUSG00000046562|Unc119b
ENSMUSG00000050989|Selenon
ENSMUSG00000034462|Pkd2
