ENSMUSG00000009076|Zmat5
ENSMUSG00000040850|Psme4
ENSMUSG00000090000|Ier3ip1
ENSMUSG00000029534|St7
ENSMUSG00000026856|Dolpp1
ENSMUSG00000048222|Mfap1b
ENSMUSG00000032370|Lactb
ENSMUSG00000080717|B230307C23Rik
ENSMUSG00000026930|Gpsm1
ENSMUSG00000037351|Actr1b
