ENSMUSG00000017664|Slc35c2
ENSMUSG00000030447|Cyfip1
ENSMUSG00000045205|Dpy19l4
ENSMUSG00000024535|Snx24
ENSMUSG00000007613|Tgfbr1
ENSMUSG00000025583|Rptor
ENSMUSG00000030766|Arhgap17
ENSMUSG00000085715|Tsix
ENSMUSG00000031851|Ntpcr
ENSMUSG00000026466|Tor1aip1
