ENSMUSG00000049106|Dcaf5
ENSMUSG00000022833|Ccdc14
ENSMUSG00000046792|Zfp787
ENSMUSG00000040029|Ipo8
ENSMUSG00000030315|Vgll4
ENSMUSG00000024120|Lrpprc
ENSMUSG00000037486|Asxl2
ENSMUSG00000056919|Cep162
ENSMUSG00000069806|Cacng7
ENSMUSG00000018931|Natd1
