ENSMUSG00000028099|Polr3c
ENSMUSG00000034274|Thoc5
ENSMUSG00000022035|Ccdc25
ENSMUSG00000027193|Api5
ENSMUSG00000015671|Psma2
ENSMUSG00000015748|Prpf3
ENSMUSG00000030298|Sec13
ENSMUSG00000073838|Tufm
ENSMUSG00000035439|Haus8
ENSMUSG00000035372|1810055G02Rik
