ENSMUSG00000020785|Camkk1
ENSMUSG00000037907|Ankrd13b
ENSMUSG00000002416|Ndufb2
ENSMUSG00000004567|Mcoln1
ENSMUSG00000098234|Snhg6
ENSMUSG00000050552|Lamtor4
ENSMUSG00000004798|Ulk2
ENSMUSG00000061273|Mmgt1
ENSMUSG00000026585|Kifap3
ENSMUSG00000021772|Nkiras1
