ENSMUSG00000027079|Clp1
ENSMUSG00000002825|Qtrt1
ENSMUSG00000038762|Abcf1
ENSMUSG00000041645|Ddx24
ENSMUSG00000030738|Eif3c
ENSMUSG00000025381|Cnpy2
ENSMUSG00000029504|Ddx51
ENSMUSG00000023944|Hsp90ab1
ENSMUSG00000019808|Adat2
ENSMUSG00000021116|Eif2s1
