ENSMUSG00000031703|Itfg1
ENSMUSG00000015461|Atf6b
ENSMUSG00000025823|Pdia4
ENSMUSG00000055707|Klhl26
ENSMUSG00000051978|Erich1
ENSMUSG00000032727|Mier3
ENSMUSG00000093565|Rab26os
ENSMUSG00000113170|Gm36839
ENSMUSG00000107143|Gm6598
ENSMUSG00000101856|1700096K18Rik
