ENSMUSG00000051234|Rnf7
ENSMUSG00000033732|Sf3b3
ENSMUSG00000025967|Eef1b2
ENSMUSG00000020358|Hnrnpab
ENSMUSG00000063787|Chchd1
ENSMUSG00000068130|Zfp442
ENSMUSG00000003037|Rab8a
ENSMUSG00000025794|Rpl14
ENSMUSG00000098274|Rpl24
ENSMUSG00000007050|Lsm2
