ENSMUSG00000039835|Nhsl1
ENSMUSG00000000167|Pih1d2
ENSMUSG00000050271|Prag1
ENSMUSG00000035967|Ints6l
ENSMUSG00000037325|Bbs7
ENSMUSG00000033502|Cdc14a
ENSMUSG00000086158|Ccpg1os
ENSMUSG00000014846|Tppp3
ENSMUSG00000034227|Foxj1
ENSMUSG00000031565|Fgfr1
