ENSMUSG00000028322|Exosc3
ENSMUSG00000004393|Ddx56
ENSMUSG00000040354|Mars
ENSMUSG00000021428|Riok1
ENSMUSG00000025428|Atp5a1
ENSMUSG00000063049|Ing2
ENSMUSG00000024309|Pfdn6
ENSMUSG00000021771|Vdac2
ENSMUSG00000026798|Coq4
ENSMUSG00000022858|Tra2b
