ENSMUSG00000050640|Tmem150c
ENSMUSG00000059857|Ntng1
ENSMUSG00000019966|Kitl
ENSMUSG00000034723|Tmx4
ENSMUSG00000039611|Tmem246
ENSMUSG00000046449|Nexmif
ENSMUSG00000025743|Sdc3
ENSMUSG00000031227|Magee1
ENSMUSG00000049148|Plcxd3
ENSMUSG00000053985|Zfp14
