ENSMUSG00000053519|Kcnip1
ENSMUSG00000044912|Syt16
ENSMUSG00000036155|Mgat5
ENSMUSG00000066721|Zfp575
ENSMUSG00000024172|St6gal2
ENSMUSG00000032985|5730522E02Rik
ENSMUSG00000033174|Mgll
ENSMUSG00000021700|Rab3c
ENSMUSG00000057880|Abat
ENSMUSG00000026872|Zeb2
