ENSMUSG00000032503|Arpp21
ENSMUSG00000036902|Neto2
ENSMUSG00000054728|Phactr1
ENSMUSG00000070570|Slc17a7
ENSMUSG00000074575|Kcng1
ENSMUSG00000031841|Cdh13
ENSMUSG00000037984|Neurod6
ENSMUSG00000022965|Ifngr2
ENSMUSG00000021743|Fezf2
ENSMUSG00000052135|Foxo6
