ENSMUSG00000097573|G730003C15Rik
ENSMUSG00000027344|Fsip1
ENSMUSG00000022621|Rabl2
ENSMUSG00000045031|Cetn4
ENSMUSG00000035142|Nubpl
ENSMUSG00000097787|2700046G09Rik
ENSMUSG00000042050|Wdr60
ENSMUSG00000032285|Dnaja4
ENSMUSG00000097062|Gm17586
ENSMUSG00000053070|9230110C19Rik
