ENSMUSG00000028565|Nfia
ENSMUSG00000047115|Fam221a
ENSMUSG00000056383|AI987944
ENSMUSG00000024424|Ttc39c
ENSMUSG00000039713|Plekhg5
ENSMUSG00000055980|Irs1
ENSMUSG00000026223|Itm2c
ENSMUSG00000052062|Pard3b
ENSMUSG00000102752|Gm7694
ENSMUSG00000040183|Ankrd6
